Bundesland,2018
BW, 11050700
BY, 13038700
BE, 3624900 
BB, 2506600 
HB, 680600   
HH, 1834200 
HE, 6250500 
MV, 1609600 
NI, 7978900 
NW, 17914300
RP, 4078100 
SL, 992200   
SN, 4075300 
ST, 2213900 
SH, 2893000 
TH, 2145500 
DE, 82927922
